Time,Temp,DutyCycle
9230,19.2,0.2
9240,19.2,0.2
9250,19.2,0.2
9260,19.2,0.2
9270,19.2,0.2
9280,19.2,0.2
9290,19.2,0.2
9300,19.2,0.2
9310,19.2,0.2
9320,19.2,0.2
9330,19.2,0.2
9340,19.2,0.2
9350,19.2,0.2
9360,19.2,0.2
9370,19.2,0.2
9380,19.2,0.2
9390,19.2,0.2
9400,19.2,0.2
9410,19.2,0.2
9420,19.2,0.2
9430,19.2,0.2
9440,19.2,0.2
9450,19.2,0.2
9460,19.2,0.2
9470,19.2,0.2
9480,19.2,0.2
9490,19.2,0.2
9500,19.2,0.2
9510,19.2,0.2
9520,19.2,0.2
9530,19.2,0.2
9540,19.2,0.2
9550,19.2,0.2
9560,19.2,0.2
9570,19.2,0.2
9580,19.2,0.2
9590,19.2,0.2
9600,19.2,0.2
9610,19.2,0.2
9620,19.2,0.2
9630,19.2,0.2
9640,19.2,0.2
9650,19.2,0.2
9660,19.2,0.2
9670,19.2,0.2
9680,19.2,0.2
9690,19.2,0.2
9700,19.2,0.2
9710,19.2,0.2
9720,19.2,0.2
9730,19.2,0.2
9740,19.2,0.2
9750,19.2,0.2
9760,19.2,0.2
9770,19.2,0.2
9780,19.2,0.2
9790,19.2,0.2
9800,19.2,0.2
9810,19.2,0.2
9820,19.2,0.2
9830,19.2,0.2
9840,19.2,0.2
9850,19.2,0.2
9860,19.2,0.2
9870,19.2,0.2
9880,19.2,0.2
9890,19.2,0.2
9900,19.2,0.2
9910,19.2,0.2
9920,19.2,0.2
9930,19.2,0.2
9940,19.2,0.2
9950,19.2,0.2
9960,19.2,0.2
9970,19.2,0.2
9980,19.2,0.2
9990,19.2,0.2
10000,19.2,0.2
10010,19.2,0.2
10020,19.2,0.2
10030,19.2,0.2
10040,19.2,0.2
10050,19.2,0.2
10060,19.2,0.2
10070,19.2,0.2
10080,19.2,0.2
10090,19.2,0.2
10100,19.2,0.2
10110,19.2,0.2
10120,19.2,0.2
10130,19.2,0.2
10140,19.2,0.2
10150,19.2,0.2
10160,19.2,0.2
10170,19.2,0.2
10180,19.2,0.2
10190,19.2,0.2
10200,19.2,0.2
10210,19.2,0.2
10220,19.2,0.2
10230,19.2,0.2
10240,19.2,0.2
10250,19.2,0.2
10260,19.2,0.2
10270,19.2,0.2
10280,19.2,0.2
10290,19.2,0.2
10300,19.2,0.2
10310,19.2,0.2
10320,19.2,0.2
10330,19.2,0.2
10340,19.2,0.2
10350,19.2,0.2
10360,19.2,0.2
