Time,Temp,Duty
0,23.4,0.1
10,23.4,0.1
20,23.4,0.1
30,23.4,0.1
40,23.4,0.1
50,23.4,0.1
60,23.4,0.1
70,23.4,0.1
80,23.4,0.1
90,23.4,0.1
100,23.4,0.1
110,23.4,0.1
120,23.4,0.1
130,23.4,0.1
140,23.4,0.1
150,23.4,0.1
160,23.4,0.1
170,23.4,0.1
180,23.4,0.1
190,23.4,0.1
200,23.4,0.1
210,23.4,0.1
220,23.4,0.1
230,23.4,0.1
240,23.4,0.1
250,23.4,0.1
260,23.4,0.1
270,23.4,0.1
280,23.4,0.1
290,23.4,0.1
300,23.4,0.1
310,23.4,0.1
320,23.4,0.1
330,23.4,0.1
340,23.4,0.1
350,23.4,0.1
360,23.4,0.1
370,23.4,0.1
380,23.4,0.1
390,23.4,0.1
400,23.4,0.1
410,23.4,0.1
420,23.4,0.1
430,23.4,0.1
440,23.4,0.1
450,23.4,0.1
460,23.4,0.1
470,23.4,0.1
480,23.4,0.1
490,23.4,0.1
500,23.4,0.1
510,23.4,0.1
520,23.4,0.1
530,23.4,0.1
540,23.4,0.1
550,23.4,0.1
560,23.4,0.1
570,23.4,0.1
580,23.4,0.1
590,23.4,0.1
600,23.4,0.1
610,23.4,0.1
620,23.4,0.1
630,23.4,0.1
640,23.4,0.1
650,23.4,0.1
660,23.4,0.1
670,23.4,0.1
680,23.4,0.1
690,23.4,0.1
700,23.4,0.1
710,23.4,0.1
720,23.4,0.1
730,23.4,0.1
740,23.4,0.1
750,23.4,0.1
760,23.4,0.1
770,23.4,0.1
780,23.4,0.1
790,23.4,0.1
800,23.4,0.1
810,23.4,0.1
820,23.4,0.1
830,23.4,0.1
840,23.4,0.1
850,23.4,0.1
860,23.4,0.1
870,23.4,0.1
880,23.4,0.1
890,23.4,0.1
900,23.4,0.1
910,23.4,0.1
920,23.4,0.1
930,23.4,0.1
940,23.4,0.1
950,23.4,0.1
960,23.4,0.1
970,23.4,0.1
980,23.4,0.1
990,23.4,0.1
1000,23.4,0.1
1010,23.4,0.1
1020,23.4,0.1
1030,23.4,0.1
1040,23.4,0.1
1050,23.4,0.1
1060,23.4,0.1
1070,23.4,0.1
1080,23.4,0.1
1090,23.4,0.1
1100,23.4,0.1
1110,23.4,0.1
1120,23.4,0.1
1130,23.4,0.1
1140,23.4,0.1
1150,23.4,0.1
1160,23.4,0.1
1170,23.4,0.1
1180,23.4,0.1
1190,23.4,0.1
1200,23.4,0.1
1210,23.4,0.1
1220,23.4,0.1
1230,23.4,0.1
1240,23.4,0.1
1250,23.4,0.1
1260,23.4,0.1
1270,23.4,0.1
1280,23.4,0.1
1290,23.4,0.1
1300,23.4,0.1
1310,23.4,0.1
1320,23.4,0.1
1330,23.4,0.1
1340,23.4,0.1
1350,23.4,0.1
1360,23.4,0.1
1370,23.4,0.1
1380,23.4,0.1
1390,23.4,0.1
1400,23.4,0.1
1410,23.4,0.1
1420,23.4,0.1
1430,23.4,0.1
1440,23.4,0.1
1450,23.4,0.1
1460,23.4,0.1
1470,23.4,0.1
1480,23.4,0.1
1490,23.4,0.1
1500,23.4,0.1
1510,23.4,0.1
1520,23.4,0.1
1530,23.4,0.1
1540,23.4,0.1
1550,23.4,0.1
1560,23.4,0.1
1570,23.4,0.1
1580,23.4,0.1
1590,23.4,0.1
1600,23.4,0.1
1610,23.4,0.1
1620,23.4,0.1
1630,23.4,0.1
1640,23.4,0.1
1650,23.4,0.1
1660,23.4,0.1
1670,23.4,0.1
1680,23.4,0.1
1690,23.4,0.1
1700,23.4,0.1
1710,23.4,0.1
1720,23.4,0.1
1730,23.4,0.1
1740,23.4,0.1
1750,23.4,0.1
1760,23.4,0.1
1770,23.4,0.1
1780,23.4,0.1
1790,23.4,0.1
1800,23.4,0.1
1810,23.4,0.1
1820,23.4,0.1
1830,23.4,0.1
1840,23.4,0.1
1850,23.4,0.1
1860,23.4,0.1
1870,23.4,0.1
1880,23.4,0.1
1890,23.4,0.1
1900,23.4,0.1
1910,23.4,0.1
1920,23.4,0.1
1930,23.4,0.1
1940,23.4,0.1
1950,23.4,0.1
1960,23.4,0.1
1970,23.4,0.1
1980,23.4,0.1
1990,23.4,0.1
2000,23.4,0.1
2010,23.4,0.1
2020,23.4,0.1
2030,23.4,0.1
2040,23.4,0.1
2050,23.4,0.1
2060,23.4,0.1
2070,23.4,0.1
2080,23.4,0.1
2090,23.4,0.1
2100,23.4,0.1
2110,23.4,0.1
2120,23.4,0.1
2130,23.4,0.1
2140,23.4,0.1
2150,23.4,0.1
2160,23.4,0.1
2170,23.4,0.1
2180,23.4,0.1
2190,23.4,0.1
2200,23.4,0.1
2210,23.4,0.1
2220,23.4,0.1
2230,23.4,0.1
2240,23.4,0.1
2250,23.4,0.1
2260,23.4,0.1
2270,23.4,0.1
2280,23.4,0.1
2290,23.4,0.1
2300,23.4,0.1
2310,23.4,0.1
2320,23.4,0.1
2330,23.4,0.1
2340,23.4,0.1
2350,23.4,0.1
2360,23.4,0.1
2370,23.4,0.1
2380,23.4,0.1
2390,23.4,0.1
2400,23.4,0.1
2410,23.4,0.1
2420,23.4,0.1
2430,23.4,0.1
2440,23.4,0.1
2450,23.4,0.1
2460,23.4,0.1
2470,23.4,0.1
2480,23.4,0.1
2490,23.4,0.1
2500,23.4,0.1
2510,23.4,0.1
2520,23.4,0.1
2530,23.4,0.1
2540,23.4,0.1
2550,23.4,0.1
2560,23.4,0.1
2570,23.4,0.1
2580,23.4,0.1
2590,23.4,0.1
2600,23.4,0.1
2610,23.4,0.1
2620,23.4,0.1
2630,23.4,0.1
2640,23.4,0.1
2650,23.4,0.1
2660,23.4,0.1
2670,23.4,0.1
2680,23.4,0.1
2690,23.4,0.1
2700,23.4,0.1
2710,23.4,0.1
2720,23.4,0.1
2730,23.4,0.1
2740,23.4,0.1
2750,23.4,0.1
2760,23.4,0.1
2770,23.4,0.1
2780,23.4,0.1
2790,23.4,0.1
2800,23.4,0.1
2810,23.4,0.1
2820,23.4,0.1
2830,23.4,0.1
2840,23.4,0.1
2850,23.4,0.1
2860,23.4,0.1
2870,23.4,0.1
2880,23.4,0.1
2890,23.4,0.1
2900,23.4,0.1
2910,23.4,0.1
2920,23.4,0.1
2930,23.4,0.1
2940,23.4,0.1
2950,23.4,0.1
2960,23.4,0.1
2970,23.4,0.1
2980,23.4,0.1
2990,23.4,0.1
3000,23.4,0.1
3010,23.4,0.1
3020,23.4,0.1
3030,23.4,0.1
3040,23.4,0.1
3050,23.4,0.1
3060,23.4,0.1
3070,23.4,0.1
3080,23.4,0.1
3090,23.4,0.1
3100,23.4,0.1
3110,23.4,0.1
3120,23.4,0.1
3130,23.4,0.1
3140,23.4,0.1
3150,23.4,0.1
3160,23.4,0.1
3170,23.4,0.1
3180,23.4,0.1
3190,23.4,0.1
3200,23.4,0.1
3210,23.4,0.1
3220,23.4,0.1
3230,23.4,0.1
3240,23.4,0.1
3250,23.4,0.1
3260,23.4,0.1
3270,23.4,0.1
3280,23.4,0.1
3290,23.4,0.1
3300,23.4,0.1
3310,23.4,0.1
3320,23.4,0.1
3330,23.4,0.1
3340,23.4,0.1
3350,23.4,0.1
3360,23.4,0.1
3370,23.4,0.1
3380,23.4,0.1
3390,23.4,0.1
3400,23.4,0.1
3410,23.4,0.1
3420,23.4,0.1
3430,23.4,0.1
3440,23.4,0.1
3450,23.4,0.1
3460,23.4,0.1
3470,23.4,0.1
3480,23.4,0.1
3490,23.4,0.1
3500,23.4,0.1
3510,23.4,0.1
3520,23.4,0.1
3530,23.4,0.1
3540,23.4,0.1
3550,23.4,0.1
3560,23.4,0.1
3570,23.4,0.1
3580,23.4,0.1
3590,23.4,0.1
3600,23.4,0.1
3610,23.4,0.1
3620,23.4,0.1
3630,23.4,0.1
3640,23.4,0.1
3650,23.4,0.1
3660,23.4,0.1
3670,23.4,0.1
3680,23.4,0.1
3690,23.4,0.1
3700,23.4,0.1
3710,23.4,0.1
3720,23.4,0.1
3730,23.4,0.1
3740,23.4,0.1
3750,23.4,0.1
3760,23.4,0.1
3770,23.4,0.1
3780,23.4,0.1
3790,23.4,0.1
3800,23.4,0.1
3810,23.4,0.1
3820,23.4,0.1
3830,23.4,0.1
3840,23.4,0.1
3850,23.4,0.1
3860,23.4,0.1
3870,23.4,0.1
3880,23.4,0.1
3890,23.4,0.1
3900,23.4,0.1
3910,23.4,0.1
3920,23.4,0.1
3930,23.4,0.1
3940,23.4,0.1
3950,23.4,0.1
3960,23.4,0.1
3970,23.4,0.1
3980,23.4,0.1
3990,23.4,0.1
4000,23.4,0.1
4010,23.4,0.1
4020,23.4,0.1
4030,23.4,0.1
4040,23.4,0.1
4050,23.4,0.1
4060,23.4,0.1
4070,23.4,0.1
4080,23.4,0.1
4090,23.4,0.1
4100,23.4,0.1
4110,23.4,0.1
4120,23.4,0.1
4130,23.4,0.1
4140,23.4,0.1
4150,23.4,0.1
4160,23.4,0.1
4170,23.4,0.1
4180,23.4,0.1
4190,23.4,0.1
4200,23.4,0.1
4210,23.4,0.1
4220,23.4,0.1
4230,23.4,0.1
4240,23.4,0.1
4250,23.4,0.1
4260,23.4,0.1
4270,23.4,0.1
4280,23.4,0.1
4290,23.4,0.1
4300,23.4,0.1
4310,23.4,0.1
4320,23.4,0.1
4330,23.4,0.1
4340,23.4,0.1
4350,23.4,0.1
4360,23.4,0.1
4370,23.4,0.1
4380,23.4,0.1
4390,23.4,0.1
4400,23.4,0.1
4410,23.4,0.1
4420,23.4,0.1
4430,23.4,0.1
4440,23.4,0.1
4450,23.4,0.1
4460,23.4,0.1
4470,23.4,0.1
4480,23.4,0.1
4490,23.4,0.1
4500,23.4,0.1
4510,23.4,0.1
4520,23.4,0.1
4530,23.4,0.1
4540,23.4,0.1
4550,23.4,0.1
4560,23.4,0.1
4570,23.4,0.1
4580,23.4,0.1
4590,23.4,0.1
4600,23.4,0.1
4610,23.4,0.1
4620,23.4,0.1
4630,23.4,0.1
4640,23.4,0.1
4650,23.4,0.1
4660,23.4,0.1
4670,23.4,0.1
4680,23.4,0.1
4690,23.4,0.1
4700,23.4,0.1
4710,23.4,0.1
4720,23.4,0.1
4730,23.4,0.1
4740,23.4,0.1
4750,23.4,0.1
4760,23.4,0.1
4770,23.4,0.1
4780,23.4,0.1
4790,23.4,0.1
4800,23.4,0.1
4810,23.4,0.1
4820,23.4,0.1
4830,23.4,0.1
4840,23.4,0.1
4850,23.4,0.1
4860,23.4,0.1
4870,23.4,0.1
4880,23.4,0.1
4890,23.4,0.1
4900,23.4,0.1
4910,23.4,0.1
4920,23.4,0.1
4930,23.4,0.1
4940,23.4,0.1
4950,23.4,0.1
4960,23.4,0.1
4970,23.4,0.1
4980,23.4,0.1
4990,23.4,0.1
5000,23.4,0.1
5010,23.4,0.1
5020,23.4,0.1
5030,23.4,0.1
5040,23.4,0.1
5050,23.4,0.1
5060,23.4,0.1
5070,23.4,0.1
5080,23.4,0.1
5090,23.4,0.1
5100,23.4,0.1
5110,23.4,0.1
5120,23.4,0.1
5130,23.4,0.1
5140,23.4,0.1
5150,23.4,0.1
5160,23.4,0.1
5170,23.4,0.1
5180,23.4,0.1
5190,23.4,0.1
5200,23.4,0.1
5210,23.4,0.1
5220,23.4,0.1
5230,23.4,0.1
5240,23.4,0.1
5250,23.4,0.1
5260,23.4,0.1
5270,23.4,0.1
5280,23.4,0.1
5290,23.4,0.1
5300,23.4,0.1
5310,23.4,0.1
5320,23.4,0.1
5330,23.4,0.1
5340,23.4,0.1
5350,23.4,0.1
5360,23.4,0.1
5370,23.4,0.1
5380,23.4,0.1
5390,23.4,0.1
5400,23.4,0.1
5410,23.4,0.1
5420,23.4,0.1
5430,23.4,0.1
5440,23.4,0.1
5450,23.4,0.1
5460,23.4,0.1
5470,23.4,0.1
5480,23.4,0.1
5490,23.4,0.1
5500,23.4,0.1
5510,23.4,0.1
5520,23.4,0.1
5530,23.4,0.1
5540,23.4,0.1
5550,23.4,0.1
5560,23.4,0.1
5570,23.4,0.1
5580,23.4,0.1
5590,23.4,0.1
5600,23.4,0.1
5610,23.4,0.1
5620,23.4,0.1
5630,23.4,0.1
5640,23.4,0.1
5650,23.4,0.1
5660,23.4,0.1
5670,23.4,0.1
5680,23.4,0.1
5690,23.4,0.1
5700,23.4,0.1
5710,23.4,0.1
5720,23.4,0.1
5730,23.4,0.1
5740,23.4,0.1
5750,23.4,0.1
5760,23.4,0.1
5770,23.4,0.1
5780,23.4,0.1
5790,23.4,0.1
5800,23.4,0.1
5810,23.4,0.1
5820,23.4,0.1
5830,23.4,0.1
5840,23.4,0.1
5850,23.4,0.1
5860,23.4,0.1
5870,23.4,0.1
5880,23.4,0.1
5890,23.4,0.1
5900,23.4,0.1
5910,23.4,0.1
5920,23.4,0.1
5930,23.4,0.1
5940,23.4,0.1
5950,23.4,0.1
5960,23.4,0.1
5970,23.4,0.1
5980,23.4,0.1
5990,23.4,0.1
6000,23.4,0.1
6010,23.4,0.1
6020,23.4,0.1
6030,23.4,0.1
6040,23.4,0.1
6050,23.4,0.1
6060,23.4,0.1
6070,23.4,0.1
6080,23.4,0.1
6090,23.4,0.1
6100,23.4,0.1
6110,23.4,0.1
6120,23.4,0.1
6130,23.4,0.1
6140,23.4,0.1
6150,23.4,0.1
6160,23.4,0.1
6170,23.4,0.1
6180,23.4,0.1
6190,23.4,0.1
6200,23.4,0.1
6210,23.4,0.1
6220,23.4,0.1
6230,23.4,0.1
6240,23.4,0.1
6250,23.4,0.1
6260,23.4,0.1
6270,23.4,0.1
6280,23.4,0.1
6290,23.4,0.1
6300,23.4,0.1
6310,23.4,0.1
6320,23.4,0.1
6330,23.4,0.1
6340,23.4,0.1
6350,23.4,0.1
6360,23.4,0.1
6370,23.4,0.1
6380,23.4,0.1
6390,23.4,0.1
6400,23.4,0.1
6410,23.4,0.1
6420,23.4,0.1
6430,23.4,0.1
6440,23.4,0.1
6450,23.4,0.1
6460,23.4,0.1
6470,23.4,0.1
6480,23.4,0.1
6490,23.4,0.1
6500,23.4,0.1
6510,23.4,0.1
6520,23.4,0.1
6530,23.4,0.1
6540,23.4,0.1
6550,23.4,0.1
